snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,Neilston,Pelham,Penwortham,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-03-01 01:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 02:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 03:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 04:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,235.81280652257007,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 05:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 06:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 07:00:00,33.9770556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,12.087666952365664,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 08:00:00,43.3136556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,255.8797116,301.279716,97.48267440000001,109.877652,270.9885408,11.5595688,60.690599999999996,19.951572,122.7414768,93.11015550641676,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,141.617928
2050-03-01 09:00:00,43.3136556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,255.8797116,301.279716,106.55251440000002,109.877652,270.9885408,11.5595688,60.690599999999996,19.951572,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 10:00:00,43.3136556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,255.8797116,301.279716,106.55251440000002,80.578512,270.9885408,11.5595688,54.51132764843973,19.951572,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
