,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
260,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
261,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
262,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
263,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
264,1980.0,990.0,1386.0,-594.0,-1386.0,-1386.0,-990.0
265,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
266,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
267,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
268,-396.0,990.0,-1386.0,-990.0,1386.0,1386.0,-990.0
269,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
270,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
271,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
272,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
273,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
274,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
275,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
276,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
277,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
278,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
279,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
280,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
281,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
282,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
283,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
284,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
285,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
286,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
